Referee,Total_Games,Total_Fouls_Called,Year,Fouls
Scott Foster,297,4789,2016-17,52338
John Goble,294,4376,2017-18,50284
Marc Davis,292,4108,2018-19,52218
James Capers Jr.,285,4427,2019-20,44318
Kane Fitzgerald,284,4375,,
Zach Zarba,284,4073,,
Tony Brothers,283,4300,,
Josh Tiven,280,4017,,
Eric Lewis,278,4262,,
Pat Fraher,276,3504,,
Ed Malloy,274,3599,,
James Williams,267,3835,,
Sean Wright,266,4282,,
Ken Mauer,260,3835,,
Brian Forte,260,3471,,
Tony Brown,258,4031,,
David Guthrie,257,3902,,
Kevin Scott,256,3487,,
Courtney Kirkland,255,3696,,
Rodney Mott,255,3581,,
Karl Lane,253,3644,,
Derrick Collins,253,3258,,
Brent Barnaky,249,3266,,
Mark Lindsay,247,3332,,
Tom Washington,246,3314,,
Tyler Ford,245,3788,,
Ben Taylor,239,3596,,
Marat Kogut,239,3447,,
Mark Ayotte,238,3338,,
Tre Maddox,238,3287,,
Nick Buchert,237,3600,,
Dedric Taylor,237,3215,,
Kevin Cutler,236,2943,,
Gediminas Petraitis,233,2946,,
Michael Smith,231,3651,,
Curtis Blair,229,3017,,
J.T. Orr,228,3208,,
Matt Boland,228,3132,,
Scott Twardoski,227,3026,,
Mike Callahan,221,2883,,
Aaron Smith,215,2531,,
Leon Wood,210,2833,,
Mitchell Ervin,204,3132,,
Scott Wall,204,2989,,
Leroy Richardson,203,2800,,
Sean Corbin,202,3151,,
Derek Richardson,191,2466,,
Justin Van Duyne,189,2779,,
Eric Dalen,188,2358,,
Ron Garretson,186,2345,,
Bill Kennedy,182,2366,,
Jacyn Goble,181,2477,,
Haywoode Workman,169,2351,,
C.J. Washington,162,2361,,
Brett Nansel,157,2251,,
Jason Phillips,149,2039,,
Derrick Stafford,145,1962,,
Ray Acosta,141,1971,,
J.B. DeRosa,141,1702,,
Bennie Adams,127,2005,,
Jason Goldenberg,127,1805,,
Jonathan Sterling,127,1588,,
Gary Zielinski,121,1698,,
Lauren Holtkamp-Sterling,119,1571,,
Bill Spooner,114,1324,,
Monty McCutchen,96,1505,,
Brandon Adair,86,919,,
Dan Crawford,74,1197,,
Phenizee Ransom,72,804,,
Mousa Dagher,65,907,,
Matt Myers,65,835,,
Natalie Sago,63,758,,
Ashley Moyer-Gleich,61,688,,
Steve Anderson,46,632,,
Evan Scott,39,457,,
John Butler,39,407,,
Nate Green,36,435,,
Jenna Schroeder,27,353,,
Simone Jelks,16,177,,
Andy Nagy,13,137,,
Suyash Mehta,13,119,,
Vladimir Voyard-Tadal,12,165,,
John Conley,8,88,,
Randy Richardson,6,68,,