Year,Area,Source,Generation,Share of production,Percent Change,Change
2000,United Kingdom,Fossil,279,75,0,0
2000,United Kingdom,Nuclear,85,23,0,0
2000,United Kingdom,Renewables,10,3,0,0
2001,United Kingdom,Fossil,283,74,1,3
2001,United Kingdom,Nuclear,90,24,6,5
2001,United Kingdom,Renewables,10,2,-4,0
2002,United Kingdom,Fossil,286,74,1,3
2002,United Kingdom,Nuclear,88,23,-2,-2
2002,United Kingdom,Renewables,11,3,17,2
2003,United Kingdom,Fossil,296,75,4,11
2003,United Kingdom,Nuclear,89,22,1,1
2003,United Kingdom,Renewables,11,3,-5,-1
2004,United Kingdom,Fossil,297,76,0,1
2004,United Kingdom,Nuclear,80,20,-10,-9
2004,United Kingdom,Renewables,14,4,33,4
2005,United Kingdom,Fossil,297,75,0,0
2005,United Kingdom,Nuclear,82,21,2,2
2005,United Kingdom,Renewables,17,4,20,3
2006,United Kingdom,Fossil,300,76,1,3
2006,United Kingdom,Nuclear,75,19,-8,-6
2006,United Kingdom,Renewables,18,5,7,1
2007,United Kingdom,Fossil,310,79,3,10
2007,United Kingdom,Nuclear,63,16,-16,-12
2007,United Kingdom,Renewables,20,5,9,2
2008,United Kingdom,Fossil,310,81,0,0
2008,United Kingdom,Nuclear,52,14,-17,-11
2008,United Kingdom,Renewables,22,6,11,2
2009,United Kingdom,Fossil,279,75,-10,-32
2009,United Kingdom,Nuclear,69,19,32,17
2009,United Kingdom,Renewables,25,7,16,3
2010,United Kingdom,Fossil,291,77,4,12
2010,United Kingdom,Nuclear,62,16,-10,-7
2010,United Kingdom,Renewables,26,7,4,1
2011,United Kingdom,Fossil,261,71,-10,-30
2011,United Kingdom,Nuclear,69,19,11,7
2011,United Kingdom,Renewables,35,10,34,9
2012,United Kingdom,Fossil,249,69,-4,-12
2012,United Kingdom,Nuclear,70,20,2,1
2012,United Kingdom,Renewables,41,11,17,6
2013,United Kingdom,Fossil,232,65,-7,-18
2013,United Kingdom,Nuclear,71,20,0,0
2013,United Kingdom,Renewables,53,15,29,12
2014,United Kingdom,Fossil,207,62,-11,-25
2014,United Kingdom,Nuclear,64,19,-10,-7
2014,United Kingdom,Renewables,65,19,21,11
2015,United Kingdom,Fossil,182,54,-12,-25
2015,United Kingdom,Nuclear,70,21,10,7
2015,United Kingdom,Renewables,83,25,28,18
2016,United Kingdom,Fossil,181,54,-1,-1
2016,United Kingdom,Nuclear,72,21,2,1
2016,United Kingdom,Renewables,82,24,-1,-1
2017,United Kingdom,Fossil,166,50,-9,-16
2017,United Kingdom,Nuclear,70,21,-2,-1
2017,United Kingdom,Renewables,97,29,19,15
2018,United Kingdom,Fossil,155,47,-7,-11
2018,United Kingdom,Nuclear,65,20,-7,-5
2018,United Kingdom,Renewables,108,33,11,11
2019,United Kingdom,Fossil,145,45,-6,-10
2019,United Kingdom,Nuclear,57,18,-12,-8
2019,United Kingdom,Renewables,117,37,9,9
2020,United Kingdom,Fossil,124,41,-14,-21
2020,United Kingdom,Nuclear,52,17,-9,-5
2020,United Kingdom,Renewables,129,42,10,12