State,housingCost,latitude,longitude
Alabama,71.5,32.806671,-86.79113
Alaska,133.9,61.370716,-152.404419
Arizona,91.7,33.729759,-111.431221
Arkansas,73.9,34.969704,-92.373123
California,227.3,36.116203,-119.681564
Colorado,119,39.059811,-105.311104
Connecticut,144.7,41.597782,-72.755371
Delaware,98.2,39.318523,-75.507141
Florida,95.4,27.766279,-81.686783
Georgia,73.8,33.040619,-83.643074
Hawaii,318.6,21.094318,-157.498337
Idaho,87.1,44.240459,-114.478828
Illinois,87.2,40.349457,-88.986137
Indiana,77.3,39.849426,-86.258278
Iowa,79.6,42.011539,-93.210526
Kansas,73.8,38.5266,-96.726486
Kentucky,77.4,37.66814,-84.670067
Louisiana,86.6,31.169546,-91.867805
Maine,123.1,44.693947,-69.381927
Maryland,184.5,39.063946,-76.802101
Massachusetts,170.3,42.230171,-71.530106
Michigan,75.2,43.326618,-84.536095
Minnesota,88.3,45.694454,-93.900192
Mississippi,70.1,32.741646,-89.678696
Missouri,70.6,38.456085,-92.288368
Montana,111.6,46.921925,-110.454353
Nebraska,80.9,41.12537,-98.268082
Nevada,121.8,38.313515,-117.055374
New Hampshire,110.3,43.452492,-71.563896
New Jersey,163.1,40.298904,-74.521011
New Mexico,77.7,34.840515,-106.248482
New York,204.4,42.165726,-74.948051
North Carolina,83.1,35.630066,-79.806419
North Dakota,90.3,47.528912,-99.784012
Ohio,73.6,40.388783,-82.764915
Oklahoma,71.9,35.565342,-96.928917
Oregon,181.8,44.572021,-122.070938
Pennsylvania,100.8,40.590752,-77.209755
Rhode Island,129.4,41.680893,-71.51178
South Carolina,85.1,33.856892,-80.945007
South Dakota,109.8,44.299782,-99.438828
Tennessee,80.2,35.747845,-86.692345
Texas,85.3,31.054487,-97.563461
Utah,93.6,40.150032,-111.862434
Vermont,126.7,44.045876,-72.710686
Virginia,108,37.769337,-78.169968
Washington,117.8,47.400902,-121.490494
West Virginia,79.6,38.491226,-80.954453
Wisconsin,91.4,44.268543,-89.616508
Wyoming,72.3,42.755966,-107.30249