Name,Time,Date
Dragorn,2:10:40,9/14/2006
Sho,2:07:40,7/14/2010
Shigeru,1:52:40,1/1/2011
Erumo,1:49:49,5/18/2011
Honey,1:48:50,10/1/2011
siglemic,1:47:10,12/28/2011
Honey,1:47:05,3/2/2012
siglemic,1:46:03,8/5/2012
siglemic,1:45:35,8/9/2012
siglemic,1:44:52,9/2/2012
siglemic,1:44:23,10/15/2012
siglemic,1:44:01,1/30/2013
siglemic,1:43:53,4/23/2014
puncayshun,1:43:42,5/22/2014
puncayshun,1:43:38,7/9/2014
puncayshun,1:43:02,7/25/2014
puncayshun,1:43:01,7/28/2014
puncayshun,1:42:57,8/16/2014
puncayshun,1:42:55,9/14/2014
puncayshun,1:42:41,9/24/2014
puncayshun,1:42:32,12/18/2014
nero_x2,1:42:09,3/6/2015
cheese,1:41:16,4/5/2015
cheese,1:41:12,4/22/2015
puncayshun,1:40:59,8/10/2015
cheese,1:40:52,9/6/2015
puncayshun,1:40:44,12/19/2015
cheese,1:40:39,4/30/2016
cheese,1:40:34,6/8/2016
cheese,1:40:12,8/6/2016
cheese,1:40:10,11/29/2016
cheese,1:40:05,4/1/2017
cheese,1:39:57,5/5/2017
puncayshun,1:39:49,6/3/2017
cheese,1:39:28,6/4/2017
cheese,1:39:19,2/8/2018
cheese,1:39:15,6/5/2019
puncayshun,1:39:06,8/18/2019
puncayshun,1:39:05,12/29/2019
cheese,1:38:54,2/1/2020
Liam,1:38:43,3/31/2020
simply,1:38:28,5/39/2020
cheese,1:38:25,1/29/2021
batora,1:38:21,4/9/2021
Liam,1:38:13,10/9/2021
Liam,1:37:53,11/7/2021
cheese,1:37:50,2/28/2022