Username,Time,Date,Region
cheese,1:37:50,2022-02-28,EU
Liam,1:37:53,2021-11-07,NA
simply,1:38:15,2022-03-09,NA
batora,1:38:21,2021-04-09,AS
puncayshun,1:38:32,2021-03-04,NA
ikori_o,1:38:32,2022-01-23,AS
hokorobi,1:38:54,2021-01-31,AS
Taggo,1:38:54,2021-06-26,EU
Karin,1:39:00,2021-07-22,AS
Paracusia,1:39:00,2021-09-24,AU
iso01,1:39:25,2021-03-03,AS
Dezanig,1:39:39,2021-07-29,SA
Weegee,1:39:42,2022-02-12,NA
nindiddeh,1:40:03,2021-11-13,NA
Gainai,1:40:12,2021-05-16,EU
RockChalk19,1:40:21,2021-04-04,NA
Dwhatever,1:40:25,2020-02-01,EU
kagami,1:40:25,2021-11-20,AS
Nebula,1:40:36,2021-11-02,AU
Fafel,1:40:43,2020-11-11,AS
Dowsky,1:40:50,2022-03-11,NA
GothicLogic,1:41:06,2021-09-09,EU
BlueBob,1:41:24,2020-01-26,NA
Kally,1:41:24,2022-02-04,XX
Tabascoth,1:41:41,2021-10-04,EU
Goldrush,1:41:43,2021-01-02,AS
Terji,1:41:54,2021-11-26,EU
nero_x2,1:42:09,2015-03-06,AS
groovy31,1:42:10,2018-08-11,EU
GUTOA,1:42:13,2017-05-03,AS
Kyman,1:42:14,2021-11-08,NA
phantaxx,1:42:24,2018-11-03,NA
akki,1:42:26,2020-10-22,AS
toastrider91,1:42:28,2015-11-08,AF
Parsee02,1:42:32,2022-03-12,AS
V1RO,1:42:42,2019-05-11,NA
Heisenburger,1:42:46,2021-11-22,NA
badroenis,1:42:48,2022-01-09,NA
taylor3311,1:42:48,2022-02-03,AS
chubby,1:42:53,2021-08-18,EU
Souli,1:42:57,2019-09-21,AS
ChipGroove,1:43:02,2022-01-02,NA
Xx_Mario_xX,1:43:09,2022-01-02,AS
turara32767,1:43:14,2021-12-07,AS
KobrahCJ,1:43:15,2021-10-14,NA
Drogie,1:43:16,2021-01-13,EU
Akira,1:43:23,2017-02-20,AS
jane_dair,1:43:25,2020-12-18,NA
tomkabs,1:43:28,2022-02-23,NA
Descente,1:43:30,2019-02-23,AS
darkdog47,1:43:30,2021-08-08,NA
Xoofey,1:43:32,2020-08-18,NA
saksdal,1:43:36,2021-07-15,NA
ringo792,1:43:37,2021-09-20,NA
Dekudude,1:43:41,2021-05-04,EU
kryptic80,1:43:43,2021-09-17,NA
Haliinen,1:43:47,2015-04-07,EU
Widdit,1:43:52,2021-09-03,NA
siglemic,1:43:53,2014-04-23,NA
Flippy_o,1:43:55,2016-09-11,EU
Deftek,1:44:00,2015-01-05,NA
Xein64,1:44:08,2021-03-13,EU
Nickless,1:44:12,2022-01-27,NA
Fuff,1:44:13,2022-01-02,NA
Melty,1:44:15,2021-02-15,AS
Afrodafro,1:44:27,2022-02-14,EU
Hayato,1:44:29,2017-05-04,AS
bebopbandit,1:44:29,2020-07-10,NA
Schnoz64,1:44:43,2021-09-18,NA
gohanie,1:44:45,2016-04-14,AS
Mitagi,1:44:45,2017-05-20,AS
JJsrl,1:44:48,2022-02-21,NA
Leysauce,1:44:49,2021-10-29,NA
Honey,1:44:51,2013-02-17,AS
luke994,1:44:56,2014-12-23,EU
Gerbiez,1:44:56,2022-03-04,NA
Wilko,1:45:00,2021-03-03,EU
Butterlord,1:45:09,2021-02-03,NA
Animazism,1:45:17,2017-02-25,EU
Alkobakknarko,1:45:18,2017-04-27,EU
Noizeeh,1:45:27,2015-01-28,EU
protoman5,1:45:28,2019-09-01,NA
crazywhw,1:45:28,2022-02-26,NA
dinkyslinky,1:45:29,2021-12-08,EU
m_vitor,1:45:31,2020-01-10,SA
SuperViperT302,1:45:37,2020-09-21,NA
bromario28,1:45:38,2021-09-26,NA
Biinny,1:45:39,2019-05-05,EU
Hampern,1:45:52,2014-04-18,XX
Copy,1:45:56,2021-10-29,NA
nidamario,1:45:57,2021-10-17,AS
Beuca,1:45:58,2019-06-24,NA
Codo,1:45:59,2017-08-21,AS
Creator_Destroyer,1:46:07,2021-04-10,NA
Gana64,1:46:08,2017-06-02,AS
arwyMilo,1:46:08,2018-03-11,NA
Falcon,1:46:08,2021-11-22,NA
PKT_Distinct,1:46:15,2022-03-14,EU
ZDeztroyerz,1:46:19,2017-08-27,XX
Yale,1:46:19,2021-11-17,NA